Level,Unit,No. ,Word,POS,Chinese Meaning
4,1,1,brutal,adj.,野蠻的;粗暴的
4,1,2,civilian,adj.,百姓的;民用的
4,1,3,courageous,adj.,英勇的;勇敢的
4,1,4,intense,adj.,強烈的;劇烈的
4,1,5,keen,adj.,熱心的;敏銳的;渴望的
4,1,6,commit,v.,使作出保證;犯(罪);做(錯事等)
4,1,7,cripple,v.,使成跛子;使殘廢
4,1,8,curve,v.,使彎曲;使成曲線
4,1,9,deserve,v.,應受;該得
4,1,10,differ,v.,不同;相異
4,1,11,grace,v.,使優美; 為...增色/錦上添花
4,1,12,horrify,v.,使恐懼;使驚懼
4,1,13,idle,v.,空轉; 混時間; 無所事事
4,1,14,lighten,v.,使光明;照亮
4,1,15,polish,v.,磨光;擦亮
4,1,16,accuracy,n.,正確(性);準確(性)
4,1,17,appliance,n.,用具;裝置;設備
4,1,18,applicant,n.,申請人
4,1,19,beak,n.,鳥嘴
4,1,20,code,n.,法規;代碼;電碼
4,1,21,craft,n.,工藝;手藝
4,1,22,cue,n.,暗示;信號
4,1,23,dormitory,n.,宿舍(=dorm)
4,1,24,embassy,n.,大使館
4,1,25,lotion,n.,(化妝等用的)乳液;塗劑
4,1,26,maximum,n.,最高極限
4,1,27,penalty,n.,處罰;刑罰;罰款
4,1,28,philosophy,n.,哲學
4,1,29,quilt,n.,被(子);被褥
4,1,30,seagull,n.,海鷗
4,1,31,wreck,n.,(船等的)失事;遇難; (車)遭嚴重毀壞
4,2,1,artificial,adj.,人工的
4,2,2,conservative,adj.,保守的;守舊的
4,2,3,faithful,adj.,忠實的;忠誠的
4,2,4,gigantic,adj.,巨大的;龐大的
4,2,5,memorable,adj.,值得懷念的;難忘的
4,2,6,needy,adj.,貧窮的
4,2,7,overnight,adj.,一夜之間的;夜間的
4,2,8,preferable,adj.,更可取的;更合意的
4,2,9,senior,adj.,年資較深的;四年級生的
4,2,10,severe,adj.,嚴重的;劇烈的
4,2,11,analyze,v.,分析 (美式拼寫)
4,2,12,cease,v.,停止;終止
4,2,13,converse,v.,交談;談話
4,2,14,glide,v.,滑動;滑行
4,2,15,guarantee,v.,保證;擔保
4,2,16,rescue,v.,援救;營救
4,2,17,spear,v.,刺;戳
4,2,18,wreck,v.,遇難;受到破壞
4,2,19,blessing,n.,祈神賜福;祝福
4,2,20,breed,n.,品種
4,2,21,concept,n.,概念;觀念
4,2,22,drill,n.,鑽;鑽頭;鑽床
4,2,23,gaze,n.,凝視;注視
4,2,24,hesitation,n.,躊躇;猶豫
4,2,25,merit,n.,長處;優點;法律依據
4,2,26,messenger,n.,送信人
4,2,27,mineral,n.,礦物
4,2,28,operation,n.,手術;操作
4,2,29,pregnancy,n.,懷孕
4,2,30,registration,n.,登記;註冊;掛號
4,2,31,scenery,n.,風景
4,2,32,sculpture,n.,雕刻品;雕塑品;雕
4,2,33,telegram,n.,電報
4,3,1,aggressive,adj.,好鬥的;挑釁的;有進取精神的
4,3,2,passive,adj.,被動的;消極的
4,3,3,pessimistic,adj.,悲觀的
4,3,4,cherish,v.,撫育;愛護
4,3,5,construct,v.,建造;構成
4,3,6,contest,v.,競爭;角逐;爭辯
4,3,7,cube,v.,使成立方形;切成小方塊
4,3,8,disconnect,v.,切斷(電話電源等)
4,3,9,illustrate,v.,(用圖;實例等)說明
4,3,10,negotiate,v.,談判;協商
4,3,11,site,v.,為...選址;設置
4,3,12,split,v.,劈開;切開
4,3,13,cease,n.,停息
4,3,14,enlargement,n.,放大
4,3,15,grace,n.,優雅;(票據等到期後的)寬限
4,3,16,impression,n.,印象
4,3,17,isolation,n.,隔離
4,3,18,literature,n.,文學;文學作品
4,3,19,neglect,n.,忽略;疏忽;疏漏
4,3,20,noun,n.,名詞
4,3,21,syrup,n.,糖漿
4,3,22,tomb,n.,墓;墓碑
4,3,23,transfer,n.,移交;轉讓
4,4,1,dependable,adj.,可靠的;可信任的
4,4,2,guilty,adj.,有罪的
4,4,3,idle,adj.,無所事事的
4,4,4,intensive,adj.,加強的;密集的
4,4,5,learned,adj.,有學問的;博學的;精通的
4,4,6,leisurely,adj.,從容不迫的;悠閒的
4,4,7,contrast,v.,使對比;使對照
4,4,8,embarrass,v.,使困窘
4,4,9,frame,v.,給...裝框子; 制定; 擬定
4,4,10,route,v.,給...定路線
4,4,11,highly,adv.,非常;很;高度地
4,4,12,assignment,n.,(分派的)任務;工作;(課外)作業
4,4,13,bounce,n.,彈;反彈
4,4,14,commander,n.,指揮官;司令官
4,4,15,conscience,n.,良心;道義心
4,4,16,contentment,n.,知足;滿意
4,4,17,facility,n.,能力;技能;設備; 設施; 工具;(供特定用途的)場所
4,4,18,fragrance,n.,芬芳;香味
4,4,19,glide,n.,滑翔;下滑
4,4,20,gratitude,n.,感激之情;感恩;感謝
4,4,21,idiom,n.,成語
4,4,22,information,n.,資訊
4,4,23,luxury,n.,奢侈品;奢華;享受;樂趣
4,4,24,peer,n.,同輩;同事
4,4,25,possession,n.,擁有;佔有;所有物
4,4,26,profession,n.,職業同行
4,4,27,recovery,n.,恢復;復甦;復元;痊癒
4,4,28,reflection,n.,反射;回響
4,4,29,reputation,n.,名譽;名聲
4,4,30,saleswoman,n.,女店員;售貨員
4,4,31,twinkle,n.,閃爍;閃耀
4,5,1,dependent,adj.,依靠的;依賴的
4,5,2,thorough,adj.,徹底的;完全的
4,5,3,virgin,adj.,未玷污的; 未開發的; 貞潔的
4,5,4,blink,v.,眨眼睛;閃爍
4,5,5,email,v.n.,electronic mail (發)電子郵件
4,5,6,endanger,v.,危及;使遭到危險
4,5,7,foam,v.,起泡沫
4,5,8,hasten,v.,催促;加速;趕緊
4,5,9,labor,v.,勞動;努力 (美式拼寫)
4,5,10,launch,v.,發射;開始
4,5,11,mow,v.,刈(草坪等)上的草
4,5,12,orbit,v.,繞軌道運行
4,5,13,witness,v.,目擊;為...作證
4,5,14,largely,adv.,大部分;主要地;大量地
4,5,15,cinema,n.,電影院;電影;電影業
4,5,16,damp,n.,濕氣;潮濕
4,5,17,digest,n.,摘要;文摘
4,5,18,equality,n.,相等;平等
4,5,19,fulfillment,n.,完成;履行;實現;成就(感) (美式拼寫)
4,5,20,guarantee,n.,保證;保證書
4,5,21,hook,n.,鉤;掛鉤
4,5,22,incident,n.,事件;事變
4,5,23,launch,n.,(船的)下水;發射
4,5,24,pace,n.,步速;速度;進度
4,5,25,publisher,n.,出版商
4,5,26,refusal,n.,拒絕
4,5,27,remark,n.,言辭;談論;評論
4,5,28,resignation,n.,辭職;放棄
4,6,1,greasy,adj.,油膩的
4,6,2,calculate,v.,計算
4,6,3,flee,v.,逃離;逃避
4,6,4,fuel,v.,加燃料;加油
4,6,5,loan,v.,借出;貸與
4,6,6,rhyme,v.,押韻
4,6,7,sleigh,v.,駕雪橇;用雪橇運輸
4,6,8,upload,v.,[電腦]上載
4,6,9,association,n.,協會;公會;社團
4,6,10,campaign,n.,運動;活動
4,6,11,candidate,n.,候選人;候補者
4,6,12,celebration,n.,慶祝
4,6,13,explanation,n.,說明;解釋
4,6,14,illustration,n.,說明;圖解
4,6,15,objective,n.,目的;目標
4,6,16,pirate,n.,海盜;劫掠者
4,6,17,remedy,n.,治療;治療法;藥物
4,6,18,salary,n.,薪資;薪水
4,6,19,status,n.,狀況;狀態
4,7,1,adequate,adj.,足夠的
4,7,2,atomic,adj.,原子的
4,7,3,fundamental,adj.,基礎的;根本的
4,7,4,imaginable,adj.,能想像的
4,7,5,peculiar,adj.,奇怪的;乖癖的
4,7,6,adapt,v.,使適應;使適合; 改編;改寫
4,7,7,blush,v.,臉紅
4,7,8,consult,v.,與...商量
4,7,9,depress,v.,使沮喪
4,7,10,honeymoon,v.,度蜜月
4,7,11,overcome,v.,戰勝;克服
4,7,12,acre,n.,英畝
4,7,13,amusement,n.,樂趣;消遣
4,7,14,catalogue,n.,目錄;大學概況一覽;登記;記載 (英式拼寫)
4,7,15,chemistry,n.,化學
4,7,16,contest,n.,爭奪;競爭
4,7,17,curiosity,n.,好奇心
4,7,18,departure,n.,離開;出發;起程
4,7,19,formation,n.,形成;構成物; 形態; 結構
4,7,20,gear,n.,齒輪;工具;設備
4,7,21,grammar,n.,文法
4,7,22,impact,n.,衝擊;撞擊;影響
4,7,23,Internet,n.,網際網路
4,7,24,protest,n.,抗議;異議
4,7,25,representation,n.,代表;代理
4,7,26,scold,n.,責罵
4,7,27,shrug,n.,聳肩
4,7,28,shuttle,n.,(織機的)梭;短程運行的車輛
4,7,29,urge,n.,強烈的慾望
4,8,1,accidental,adj.,偶然的;意外的
4,8,2,distinguished,adj.,卓越的;著名的
4,8,3,magnetic,adj.,磁鐵的;磁性的
4,8,4,primitive,adj.,原始的;遠古的;早期的
4,8,5,universal,adj.,宇宙的;通用的
4,8,6,abandon,v.,放棄
4,8,7,attach,v.,裝上;貼上;使附屬
4,8,8,crush,v.,壓碎;壓壞
4,8,9,devise,v.,設計;發明
4,8,10,discipline,v.,懲戒
4,8,11,doze,v.,打瞌睡;打盹
4,8,12,dread,v.,懼怕;擔心
4,8,13,exhaust,v.,使精疲力盡
4,8,14,forbid,v.,禁止;不許
4,8,15,forecast,v.,預測
4,8,16,initial,v.,簽姓名的首字母於;草簽
4,8,17,intend,v.,想要;打算
4,8,18,intensify,v.,加強;增強
4,8,19,reflect,v.,反射;照出;映出
4,8,20,resign,v.,放棄;辭去
4,8,21,resolve,v.,解決;解答;使分解
4,8,22,despite,prep.,不管;儘管;任憑
4,8,23,allowance,n.,津貼;零用錢
4,8,24,capacity,n.,容量;容積
4,8,25,clash,n.,碰撞聲;鏗鏘聲
4,8,26,comment,n.,評論
4,8,27,conductor,n.,指揮; 列車長; 檢票員; 導體
4,8,28,doctor,n.,醫生
4,8,29,dread,n.,畏懼;恐怖
4,8,30,greeting,n.,問候;迎接;招呼;賀詞;問候語
4,8,31,learning,n.,學習;學問;學識
4,8,32,quotation,n.,引用;引證;引文
4,8,33,screwdriver,n.,螺絲刀;螺絲起子
4,8,34,sleigh,n.,(輕便) 雪橇
4,8,35,surgeon,n.,外科醫生
4,8,36,telescope,n.,望遠鏡
4,8,37,usage,n.,使用;用法
4,9,1,abstract,adj.,抽象的
4,9,2,continuous,adj.,連續的;不斷的
4,9,3,minimum,adj.,最小的;最少的
4,9,4,urban,adj.,城市的
4,9,5,adjust,v.,校準;調整;適應
4,9,6,campaign,v.,參加競選
4,9,7,depart,v.,起程;出發;離開;離去
4,9,8,mostly,adv.,一般地;通常
4,9,9,admiration,n.,欽佩;羨慕
4,9,10,delight,n.,欣喜;愉快
4,9,11,essay,n.,論說文;散文
4,9,12,eve,n.,前夕
4,9,13,observation,n.,觀察;觀測
4,9,14,reception,n.,接待;接見;接待處
4,9,15,retreat,n.,撤退
4,9,16,sketch,n.,速寫;素描
4,9,17,sophomore,n.,(大學;高中的)二年級學生
4,10,1,damp,adj.,有濕氣的;潮濕的
4,10,2,enormous,adj.,巨大的
4,10,3,remarkable,adj.,非凡的;卓越的
4,10,4,comment,v.,評論
4,10,5,interpret,v.,解釋
4,10,6,offend,v.,冒犯;觸怒
4,10,7,sneeze,v. n.,(打) 噴嚏
4,10,8,urge,v.,催促;力勸
4,10,9,violate,v.,違犯;擾亂
4,10,10,cabinet,n.,櫥;櫃;內閣
4,10,11,cement,n.,水泥
4,10,12,deadline,n.,最後限期
4,10,13,fantasy,n.,空想;幻想
4,10,14,forecast,n.,預測
4,10,15,generosity,n.,寬宏大量;慷慨
4,10,16,invasion,n.,入侵;侵略
4,10,17,manufacturer,n.,製造業者;廠商
4,10,18,modesty,n.,謙遜;虛心
4,10,19,nylon,n.,尼龍
4,10,20,opera,n.,歌劇
4,10,21,persuasion,n.,說服;勸說
4,10,22,syllable,n.,音節
4,10,23,unique,n.,獨一無二的人(或事物)
4,10,24,violation,n.,違反;違背
4,11,1,artistic,adj.,藝術的
4,11,2,competitive,adj.,競爭的
4,11,3,critical,adj.,緊要的;關鍵性的;危急的
4,11,4,facial,adj.,臉的;面部的
4,11,5,gracious,adj.,親切的;和藹的
4,11,6,grateful,adj.,感謝的;感激的
4,11,7,initial,adj.,開始的;最初的
4,11,8,occasional,adj.,偶爾的;非經常的
4,11,9,access,v.,存取(資料);使用;接近;到達
4,11,10,cement,v.,黏緊;黏牢
4,11,11,climax,v.,使達到頂點(或高潮)
4,11,12,fulfill,v.,履行(諾言等)
4,11,13,harden,v.,使變硬;使變堅固
4,11,14,herd,v.,放牧; 向...移動
4,11,15,insult,v.,侮辱;羞辱
4,11,16,oppose,v.,反對
4,11,17,protest,v.,抗議;反對
4,11,18,publish,v.,出版;發行;刊載
4,11,19,retain,v.,保留;保持
4,11,20,attachment,n.,連接;安裝;附著;附屬物;附件;扣押;扣押令
4,11,21,cape,n.,岬;海角; 披肩; 斗篷
4,11,22,convention,n.,會議;大會
4,11,23,ferry,n.,渡輪
4,11,24,founder,n.,創立者;奠基者
4,11,25,reunion,n.,團聚;重聚
4,11,26,salesperson,n.,店員;售貨員
