Level,Unit,No. ,Word,POS,Chinese Meaning
3,1,1,fond,adj.,喜歡的;愛好的
3,1,2,mature,adj.,成熟的;到期的
3,1,3,missing,adj.,缺掉的;失蹤的;找不到的
3,1,4,mobile,adj.,移動式的;流動的
3,1,5,significant,adj.,有意義的
3,1,6,stormy,adj.,暴風雨的
3,1,7,afford,v.,買得起
3,1,8,appreciate,v.,感謝;賞識
3,1,9,balance,v.,使平衡
3,1,10,disappoint,v.,使失望
3,1,11,elbow,v.,用肘推;擠進
3,1,12,mist,v.,使蒙上薄霧
3,1,13,participate,v.,參加;參與
3,1,14,restrict,v.,限制;限定;約束
3,1,15,swear,v.,發誓;宣誓
3,1,16,barn,n.,穀倉;糧倉
3,1,17,childhood,n.,幼時
3,1,18,client,n.,顧客;客戶
3,1,19,description,n.,敘述;形容
3,1,20,ditch,n.,溝;壕溝
3,1,21,employee,n.,受雇者;雇工;雇員
3,1,22,expectation,n.,期待;預期
3,1,23,faucet,n.,水龍頭
3,1,24,fist,n.,拳;掌握;支配
3,1,25,freeze,n.,結冰;凝固;(物價;工資等的)凍結
3,1,26,grab,n.,攫取;霸佔
3,1,27,hairdresser,n.,美髮師
3,1,28,journey,n.,旅行
3,1,29,label,n.,貼紙;標籤;商標
3,1,30,leak,n.,(水;瓦斯等的)漏出;漏電
3,1,31,minority,n.,少數;少數民族;未成年
3,1,32,misery,n.,痛苦;不幸;悲慘;窮困
3,1,33,plum,n.,洋李; 梅子
3,1,34,rent,n.,租金;租費
3,1,35,response,n.,回答;答覆
3,1,36,stool,n.,凳子;擱腳凳; 糞便(醫學術語)
3,1,37,stuff,n.,材料;原料;物品
3,1,38,youngster,n.,年輕人
3,2,1,dramatic,adj.,戲劇性的;引人注目的
3,2,2,electrical,adj.,電的
3,2,3,outdoor,adj.,戶外的;露天的;野外的
3,2,4,proper,adj.,適合的;適當的
3,2,5,reasonable,adj.,合理的;正當的
3,2,6,sensible,adj.,有知覺的;明顯的
3,2,7,buzz,n. v.,嗡嗡聲; 嗡嗡叫
3,2,8,drip,v.,滴下
3,2,9,frequent,v.,常到;常去
3,2,10,harm,v.,損害;傷害;危害
3,2,11,quote,v.,引用;引述
3,2,12,rot,v.,腐爛;腐壞;腐朽;破損
3,2,13,sew,v.,縫製;縫補
3,2,14,sting,v.,刺;螫;叮
3,2,15,tow,v.,拖;拉;牽引
3,2,16,tutor,v.,當家庭教師; 單獨輔導
3,2,17,sometime,adv.,某一時候;日後;改天
3,2,18,badminton,n.,羽毛球
3,2,19,carpenter,n.,木工;木匠
3,2,20,cheer,n.,喝采;鼓勵
3,2,21,complex,n.,複合物; 建築群; 不正常的憂慮
3,2,22,discotheque,n.,小舞廳;迪斯科舞廳
3,2,23,necktie,n.,領帶
3,2,24,performance,n.,演出;演奏;表演
3,2,25,pest,n.,害蟲;有害的植物
3,2,26,pint,n.,品脫(英美容量或液量名)
3,2,27,rough,n.,高低不平的地面;粗製品;梗概;草圖
3,2,28,sin,n.,罪孽;罪惡
3,2,29,slope,n.,傾斜;坡度
3,2,30,trace,n.,蹤跡
3,2,31,vehicle,n.,車輛;飛行器;傳播媒介;工具
3,3,1,advanced,adj.,先進的;高等的
3,3,2,ivory,adj.,乳白色的; 象牙色的
3,3,3,achieve,v.,實現
3,3,4,choke,v.,使窒息;哽住
3,3,5,couch,v.,使躺下;表達;蹲著;埋伏
3,3,6,emphasize,v.,強調 (美式拼寫)
3,3,7,import,v.,輸入; 進口
3,3,8,spoil,v.,寵壞;溺愛;變質;破壞
3,3,9,transport,v.,運送;運輸
3,3,10,auto,n.,汽車(=automobile)
3,3,11,bud,n.,葉芽;花蕾;少女
3,3,12,due,n.,應得之物;應得權益;應付款;稅金
3,3,13,furniture,n.,傢俱
3,3,14,hollow,n.,洞;穴;坑
3,3,15,honesty,n.,誠實
3,3,16,horn,n.,角;觸角;喇叭
3,3,17,identity,n.,身分
3,3,18,jelly,n.,果凍;果醬
3,3,19,journal,n.,日報;雜誌;期刊;日誌
3,3,20,scholarship,n.,獎學金
3,3,21,sleeve,n.,袖子;袖套
3,3,22,tag,n.,標籤
3,3,23,tulip,n.,鬱金香
3,3,24,tumble,n.,跌跤;墜落
3,3,25,zip,n.,拉鍊 (亦:zipper);郵政編碼
3,4,1,mighty,adj.,強大的;強有力的
3,4,2,violet,adj.,藍紫色的; 紫羅蘭色的
3,4,3,capture,v.,捕獲;俘虜
3,4,4,ditch,v.,掘溝; 拋棄
3,4,5,fake,v.,偽造;捏造;欺騙;迷惑
3,4,6,pop,v.,發出砰(或啪)的響聲
3,4,7,remind,v.,提醒
3,4,8,sweat,v.,出汗
3,4,9,swell,v.,腫起;腫脹
3,4,10,being,n.,存在;生存;生命;本質
3,4,11,bingo,n.,賓果遊戲
3,4,12,cabin,n.,客艙; 小屋
3,4,13,excellence,n.,優秀;傑出;卓越
3,4,14,glance,n.,一瞥;掃視
3,4,15,headquarters,n.,總部;總公司;總局
3,4,16,lifeboat,n.,救生艇
3,4,17,linen,n.,亞麻布製品(如床單;桌巾;內衣等)
3,4,18,parcel,n.,小包;包裹
3,4,19,pony,n.,矮種馬;小馬
3,4,20,receipt,n.,收據;收條
3,4,21,rust,n.,鏽;鐵鏽
3,4,22,scale,n.,尺度;等級;級別; 秤
3,4,23,shepherd,n.,牧羊人
3,5,1,classical,adj.,古典的
3,5,2,crisp,adj.,脆的;酥的;鬆脆的;(紙張或布料)嶄新挺括的
3,5,3,fashionable,adj.,時尚的
3,5,4,obvious,adj.,明顯的;顯著的
3,5,5,racial,adj.,種族的
3,5,6,bud,v.,使發芽
3,5,7,program,v.,為...安排節目;設計電腦程式 (美式拼寫)
3,5,8,wink,v.,眨(眼); 閃爍
3,5,9,somehow,adv.,不知怎麼; 不管怎麼著
3,5,10,average,n.,平均;平均數
3,5,11,deed,n.,契據;證書
3,5,12,engagement,n.,訂婚;諾言;雇用;交戰
3,5,13,grain,n.,穀物;(砂;鹽等的)粒;細粒
3,5,14,hive,n.,蜂房;蜂巢;熱鬧的場所
3,5,15,honor,n.,榮譽;名譽 (美式拼寫)
3,5,16,moisture,n.,濕氣
3,5,17,mystery,n.,神祕;祕密
3,5,18,relief,n.,緩和;減輕;解除
3,5,19,slice,n.,薄片
3,6,1,civil,adj.,市民的;國民的
3,6,2,countable,adj.,可計算的;可數的
3,6,3,domestic,adj.,國內的; 家用的，家庭的
3,6,4,icy,adj.,冰冷的
3,6,5,religious,adj.,宗教的;虔誠的
3,6,6,routine,adj.,日常的;例行的;常規的
3,6,7,secondary,adj.,第二的;次要的
3,6,8,sincere,adj.,誠懇的
3,6,9,suspect,adj.,可疑的;受到懷疑的;不可信的
3,6,10,bare,v.,露出
3,6,11,cheer,v.,向...歡呼
3,6,12,chill,v.,使變冷;使打寒顫;使掃興;使沮喪; 放鬆
3,6,13,dump,v.,傾倒;拋棄
3,6,14,file,v.,把...歸檔
3,6,15,float,v.,浮動;飄動;漂浮
3,6,16,gamble,v.,賭博;打賭
3,6,17,recover,v.,尋回;恢復
3,6,18,weed,v.,除掉(雜草)
3,6,19,bay,n.,海灣
3,6,20,bunch,n.,串;束
3,6,21,cane,n.,藤條;手杖
3,6,22,cradle,n.,搖籃;發源地;發祥地
3,6,23,credit,n.,信用;貸方; 學分; 聲望; 讚譽
3,6,24,export,n.,出口
3,6,25,gas,n.,瓦斯;汽油
3,6,26,handful,n.,少數;少量
3,6,27,hometown,n.,故鄉;家鄉
3,6,28,kidney,n.,腎臟
3,6,29,peep,n.,窺視;偷看;一瞥
3,6,30,pit,n.,窪坑;凹處;地窖
3,6,31,sake,n.,理由;緣故;利益
3,6,32,summary,n.,總結;摘要
3,6,33,tack,n.,大頭釘;圖釘
3,6,34,unity,n.,整體;一貫性
3,6,35,wage,n.,代價;報償;工資
3,7,1,available,adj.,可用的;可得到的;有效的
3,7,2,loose,adj.,鬆的
3,7,3,normal,adj.,正常的;正規的
3,7,4,wealthy,adj.,富裕的;豐富的
3,7,5,admit,v.,承認;准許進入;可容納
3,7,6,chop,v.,砍;劈;斬
3,7,7,dodge,v.,閃開;迴避
3,7,8,orphan,v.,使成孤兒
3,7,9,parade,v.,在...遊行
3,7,10,tighten,v.,變緊;繃緊
3,7,11,edition,n.,版本
3,7,12,follower,n.,追隨者;信徒
3,7,13,mission,n.,使節團;使命;任務
3,7,14,saving,n.,挽救;節儉;節約;儲金
3,7,15,survey,n.,調查;調查報告
3,7,16,typewriter,n.,打字機
3,7,17,victim,n.,受害者
3,7,18,wealth,n.,財富;大量
3,8,1,eager,adj.,渴望的;急切的
3,8,2,extreme,adj.,極端的;極度的
3,8,3,sexual,adj.,兩性的;關於性關係的;性慾的
3,8,4,swift,adj.,快速的;快捷的
3,8,5,tidy,adj.,整潔的
3,8,6,amaze,v.,使大為驚奇
3,8,7,bubble,v.,沸騰;冒泡
3,8,8,drown,v.,淹沒;浸濕
3,8,9,enable,v.,使成為可能
3,8,10,exchange,v.,交換;調換;兌換
3,8,11,wander,v.,漫遊;閒逛
3,8,12,barrel,n.,大桶
3,8,13,border,n.,邊緣;邊境
3,8,14,chew,n.,咀嚼
3,8,15,complaint,n.,抱怨;抗議;怨言
3,8,16,cone,n.,圓錐體;圓錐形
3,8,17,continent,n.,大陸;陸地;大洲
3,8,18,dealer,n.,業者;商人;發牌者
3,8,19,dock,n.,碼頭
3,8,20,folk,n.,人們; 百姓
3,8,21,grasshopper,n.,蚱蜢
3,8,22,inn,n.,小旅館;客棧
3,8,23,mayor,n.,市長;鎮長
3,8,24,property,n.,財產;資產
3,8,25,swell,n.,鼓起;膨脹; 湧浪
3,9,1,attractive,adj.,有吸引力的;引人注目的
3,9,2,confident,adj.,有信心的
3,9,3,magical,adj.,魔術的;魔法的
3,9,4,outer,adj.,外面的;外表的
